day_name,season,route_id,stop_name.x,stop_name.y,stop_lat.x,stop_lon.x,stop_lat.y,stop_lon.y,avg_time
Friday,Fall,Orange,Back Bay,Downtown Crossing,42.34735,-71.075727,42.355517999999996,-71.060225,281.6484375
Friday,Fall,Orange,Back Bay,Forest Hills,42.34735,-71.075727,42.300523,-71.113686,863.685294117647
Friday,Fall,Orange,Back Bay,Green Street,42.34735,-71.075727,42.309832,-71.108059,672.796875
Friday,Fall,Orange,Back Bay,Haymarket,42.34735,-71.075727,42.363021,-71.05829,467.66141732283467
Friday,Fall,Orange,Back Bay,Jackson Square,42.34735,-71.075727,42.323132,-71.099592,442.66753926701574
Friday,Fall,Orange,Back Bay,Malden Center,42.34735,-71.075727,42.426662,-71.074314,1518.2293333333325
Friday,Fall,Orange,Back Bay,Massachusetts Avenue,42.34735,-71.075727,42.340927,-71.084188,113.67885117493476
Friday,Fall,Orange,Back Bay,North Station,42.34735,-71.075727,42.365577,-71.06129,552.905263157895
Friday,Fall,Orange,Back Bay,Oak Grove,42.34735,-71.075727,42.437735000000004,-71.070875,1657.0429447852757
Friday,Fall,Orange,Back Bay,Roxbury Crossing,42.34735,-71.075727,42.330671,-71.096121,338.20680628272254
Friday,Fall,Orange,Back Bay,Ruggles,42.34735,-71.075727,42.33649,-71.089684,223.5497382198953
Friday,Fall,Orange,Back Bay,State,42.34735,-71.075727,42.358978,-71.057598,383.6832460732984
Friday,Fall,Orange,Back Bay,Stony Brook,42.34735,-71.075727,42.317062,-71.104248,568.3054830287206
Friday,Fall,Orange,Back Bay,Sullivan Square,42.34735,-71.075727,42.383975,-71.076994,929.0237467018462
Friday,Fall,Orange,Back Bay,Tufts Medical Center,42.34735,-71.075727,42.349662,-71.063917,83.07291666666667
Friday,Fall,Orange,Back Bay,Wellington,42.34735,-71.075727,42.401507,-71.07715,1252.841688654353
Friday,Fall,Orange,Chinatown,Assembly,42.352547,-71.062752,42.392336,-71.07718,842.0846560846567
Friday,Fall,Orange,Chinatown,Back Bay,42.352547,-71.062752,42.34735,-71.075727,216.20157068062827
Friday,Fall,Orange,Chinatown,Community College,42.352547,-71.062752,42.373622,-71.069533,470.21578947368437
Friday,Fall,Orange,Chinatown,Downtown Crossing,42.352547,-71.062752,42.355517999999996,-71.060225,30.432291666666668
Friday,Fall,Orange,Chinatown,Forest Hills,42.352547,-71.062752,42.300523,-71.113686,1161.2035398230087
Friday,Fall,Orange,Chinatown,Green Street,42.352547,-71.062752,42.309832,-71.108059,971.5157068062828
Friday,Fall,Orange,Chinatown,Haymarket,42.352547,-71.062752,42.363021,-71.05829,217.0892388451444
Friday,Fall,Orange,Chinatown,Jackson Square,42.352547,-71.062752,42.323132,-71.099592,740.9212598425197
Friday,Fall,Orange,Chinatown,Malden Center,42.352547,-71.062752,42.426662,-71.074314,1267.098666666668
Friday,Fall,Orange,Chinatown,Massachusetts Avenue,42.352547,-71.062752,42.340927,-71.084188,412.1413612565445
Friday,Fall,Orange,Chinatown,North Station,42.352547,-71.062752,42.365577,-71.06129,302.6815789473684
