service_date,gtfs_route_id,gtfs_route_desc,route_category,mode_type,otp_numerator,otp_denominator,cancelled_numerator,month,route_short_name,route_long_name
2022-08-23,34E,Local Bus,Other Bus,Bus,227,341,0,22Aug,34E,Walpole Center - Forest Hills Station
2022-08-23,34,Local Bus,Other Bus,Bus,463,581,0,22Aug,34,Dedham Mall or Dedham Line - Forest Hills Station
2022-08-23,34,Local Bus,Other Bus,Bus,249,285,0,22Aug,34,Dedham Mall or Dedham Line - Forest Hills Station
2022-08-23,33,Local Bus,Other Bus,Bus,40,73,0,22Aug,33,River Street & Milton Street - Mattapan Station
2022-08-23,33,Local Bus,Other Bus,Bus,83,122,0,22Aug,33,River Street & Milton Street - Mattapan Station
2022-08-23,32,Key Bus Route (Frequent Service),Key Bus,Bus,371,469,0,22Aug,32,Wolcott or Cleary Square - Forest Hills Station
2022-08-23,32,Key Bus Route (Frequent Service),Key Bus,Bus,877,1063,0,22Aug,32,Wolcott or Cleary Square - Forest Hills Station
2022-08-23,31,Local Bus,Other Bus,Bus,500,643,0,22Aug,31,Mattapan Station - Forest Hills Station via Morton Street
2022-08-23,31,Local Bus,Other Bus,Bus,191,225,0,22Aug,31,Mattapan Station - Forest Hills Station via Morton Street
2022-08-23,30,Local Bus,Other Bus,Bus,186,251,0,22Aug,30,Mattapan Station - Forest Hills Station via Cummins Highway and Roslindale Square
2022-08-23,30,Local Bus,Other Bus,Bus,90,108,0,22Aug,30,Mattapan Station - Forest Hills Station via Cummins Highway and Roslindale Square
2022-08-23,29,Local Bus,Other Bus,Bus,229,344,0,22Aug,29,Mattapan Station - Jackson Square Station
2022-08-23,29,Local Bus,Other Bus,Bus,140,192,0,22Aug,29,Mattapan Station - Jackson Square Station
2022-08-23,28,Key Bus Route (Frequent Service),Key Bus,Bus,1106,1411,0,22Aug,28,Mattapan Station - Ruggles Station
2022-08-23,28,Key Bus Route (Frequent Service),Key Bus,Bus,415,526,0,22Aug,28,Mattapan Station - Ruggles Station
2022-08-23,26,Local Bus,Other Bus,Bus,134,219,0,22Aug,26,Ashmont Station - Norfolk Street Loop
2022-08-23,26,Local Bus,Other Bus,Bus,117,128,0,22Aug,26,Ashmont Station - Norfolk Street Loop
2022-08-23,245,Local Bus,Other Bus,Bus,13,22,0,22Aug,245,Quincy Center Station - Mattapan Station
2022-08-23,245,Local Bus,Other Bus,Bus,41,59,0,22Aug,245,Quincy Center Station - Mattapan Station
2022-08-23,240,Local Bus,Other Bus,Bus,119,226,0,22Aug,240,Avon Square - Ashmont Station
2022-08-23,240,Local Bus,Other Bus,Bus,381,586,0,22Aug,240,Avon Square - Ashmont Station
2022-08-23,24,Local Bus,Other Bus,Bus,112,156,0,22Aug,24,Wakefield Avenue & Truman Parkway - Ashmont Station
2022-08-23,24,Local Bus,Other Bus,Bus,274,378,0,22Aug,24,Wakefield Avenue & Truman Parkway - Ashmont Station
2022-08-23,238,Local Bus,Other Bus,Bus,88,146,0,22Aug,238,Holbrook/Randolph Station - Quincy Center Station
2022-08-23,238,Local Bus,Other Bus,Bus,167,324,0,22Aug,238,Holbrook/Randolph Station - Quincy Center Station
2022-08-23,236,Local Bus,Other Bus,Bus,54,89,0,22Aug,236,South Shore Plaza - Quincy Center Station
2022-08-23,236,Local Bus,Other Bus,Bus,109,151,0,22Aug,236,South Shore Plaza - Quincy Center Station
2022-08-23,230,Local Bus,Other Bus,Bus,258,362,0,22Aug,230,Montello Station - Quincy Center Station
2022-08-23,96,Local Bus,Other Bus,Bus,111,138,0,22Aug,96,Medford Square - Harvard Station
2022-08-23,Green-E,Rapid Transit,Green Line,Rail,6346.0175,9801.36103,0,22Aug,E,Green Line E
